station,type,numof.routes,lat,long,routelist,HRA_name,geometry
Metro Stop,KC Metro,3,47.75931682,-122.2010826,342 372E 522E,Bothell and Woodinville,"c(-122.201082635023, 47.7593168180957)"
Metro Stop,KC Metro,3,47.55713705,-122.1892807,111 167 342,Bellevue - South,"c(-122.189280723736, 47.5571370524292)"
Metro Stop,KC Metro,1,47.56773801,-122.1789746,114,Bellevue - South,"c(-122.178974582336, 47.5677380069918)"
Metro Stop,KC Metro,2,47.5240946,-122.1624494,114 240,Newcastle and Four Creeks,"c(-122.162449399497, 47.5240946045944)"
Metro Stop,KC Metro,2,47.52883349,-122.1633111,114 240,Newcastle and Four Creeks,"c(-122.163311095289, 47.5288334926176)"
Metro Stop,KC Metro,2,47.58440836,-122.1895168,241 249,Bellevue - West,"c(-122.18951684919, 47.5844083591625)"
Metro Stop,KC Metro,3,47.55733202,-122.1907035,111 167 342,Bellevue - West,"c(-122.190703494388, 47.5573320223891)"
Metro Stop,KC Metro,4,47.58697715,-122.1913184,241 249 550E 556E,Bellevue - West,"c(-122.191318395019, 47.586977152515)"
Metro Stop,KC Metro,3,47.60431915,-122.1906357,240 246 342,Bellevue - West,"c(-122.190635742839, 47.6043191511724)"
Metro Stop,KC Metro,3,47.61143464,-122.1961007,241 246 249,Bellevue - West,"c(-122.196100662414, 47.6114346394787)"
Metro Stop,KC Metro,1,47.44595552,-122.2237846,153,Renton - South,"c(-122.223784554598, 47.4459555223876)"
Metro Stop,KC Metro,1,47.4435844,-122.2240447,153,Renton - South,"c(-122.224044738214, 47.4435843968174)"
Metro Stop,KC Metro,1,47.44595498,-122.2235824,153,Renton - South,"c(-122.223582442856, 47.4459549835862)"
Metro Stop,KC Metro,1,47.4601657,-122.2235082,153,Renton - South,"c(-122.223508204755, 47.4601657037808)"
Metro Stop,KC Metro,1,47.46104132,-122.223297,153,Renton - South,"c(-122.223297030282, 47.4610413235812)"
Metro Stop,KC Metro,1,47.45188597,-122.2236353,153,Renton - South,"c(-122.223635320648, 47.4518859656895)"
Metro Stop,KC Metro,1,47.27231195,-122.2499285,917,"Lakeland, Algona, Pacific, and Milton","c(-122.24992849057, 47.2723119463795)"
Metro Stop,KC Metro,1,47.2742197,-122.2498915,917,"Lakeland, Algona, Pacific, and Milton","c(-122.249891462452, 47.274219695194)"
Metro Stop,KC Metro,1,47.27552106,-122.2498662,917,"Lakeland, Algona, Pacific, and Milton","c(-122.249866231312, 47.275521056134)"
Metro Stop,KC Metro,1,47.27863595,-122.2498175,917,"Lakeland, Algona, Pacific, and Milton","c(-122.249817532117, 47.278635948537)"
Metro Stop,KC Metro,1,47.68634623,-122.1644152,225,Redmond - South,"c(-122.164415173069, 47.6863462304079)"
