FEATUREDES,NAME,ZIPCODE,LONG_CEN,LAT_CEN,DISTRICT,lat,long,HRA_name,geometry
School-Junior High/Middle,Billings Middle School,98125,-122.3218046,47.71923436,SEATTLE,-122.3218033,47.71923616,"Seattle - Broadview, Haller Lake, and Licton Springs","c(-122.321803315044, 47.7192361573739)"
School-Elementary,Concord International Elementary School,98108,-122.3246907,47.52360899,SEATTLE,-122.3246886,47.52361085,"Seattle - South Beacon Hill, Georgetown, and South Park","c(-122.32468855854, 47.5236108464252)"
School-Alternative,Alan T. Sugiyama High School,98118,-122.2709126,47.52567045,SEATTLE,-122.2709105,47.52567237,Seattle - Rainier Valley and Rainier Beach,"c(-122.270910513099, 47.5256723691795)"
School-High,Rainier Beach High School,98118,-122.2658611,47.52406988,SEATTLE,-122.2658589,47.52407181,Seattle - Rainier Valley and Rainier Beach,"c(-122.26585893092, 47.5240718070617)"
School-Junior High/Middle,Hamilton International Middle School,98103,-122.3380266,47.65745462,SEATTLE,-122.3380251,47.6574564,Fremont and Wallingford,"c(-122.338025077723, 47.6574564037791)"
School-High,Liberty High School,98059,-122.1177545,47.48007052,ISSAQUAH,-122.1177522,47.48007278,"East Highlands, Hobart, and Greater Maple Valley","c(-122.117752191976, 47.480072782274)"
School-Elementary,Meridian Park Elementary School,98133,-122.3360532,47.7550165,SHORELINE,-122.3360521,47.75501823,Shoreline,"c(-122.336052087953, 47.7550182263472)"
School-Elementary,Brookside Elementary School,98155,-122.2897449,47.75460506,SHORELINE,-122.2897438,47.7546069,Kenmore and Lake Forest Park,"c(-122.289743845429, 47.7546068989804)"
School-Elementary,Sanislo Elementary School,98106,-122.3586608,47.53960743,SEATTLE,-122.3586587,47.53960923,Seattle - Delridge,"c(-122.358658714062, 47.5396092318084)"
School-Elementary,Coe Elementary School,98119,-122.3656001,47.6405142,SEATTLE,-122.3655985,47.64051594,Seattle - Queen Anne,"c(-122.365598538347, 47.6405159394934)"
School-Elementary,Woodmont K-8 School,98198,-122.3122592,47.36322782,FEDERAL WAY,-122.3122562,47.36322966,Des Moines and Normandy Park,"c(-122.312256187655, 47.3632296563892)"
School-Junior High/Middle,Meany Middle School,98112,-122.3053025,47.62159745,SEATTLE,-122.3053009,47.6215993,Seattle - Capitol Hill,"c(-122.305300860537, 47.6215993017475)"
School-Elementary,Willow Crest Elementary,98092,-122.167817,47.33013382,AUBURN,-122.1678138,47.33013595,Auburn - North,"c(-122.167813816296, 47.3301359490332)"
School-Alternative,Leadership Preparatory Academy,98033,-122.2018998,47.67286669,LAKE WASHINGTON,-122.2018984,47.67286871,Kirkland - South,"c(-122.201898388093, 47.6728687134702)"
School-Alternative,Eastside Preparatory School,98033,-122.1989959,47.64362276,LAKE WASHINGTON,-122.1989944,47.6436248,Kirkland - South,"c(-122.198994374613, 47.6436248001061)"
School-High,The Downtown School,98109,-122.3536555,47.61996379,SEATTLE,-122.3536538,47.61996557,Seattle - Queen Anne,"c(-122.353653809143, 47.6199655659336)"
School-Junior High/Middle,Seattle School for Boys,98144,-122.2964857,47.58886271,SEATTLE,-122.2964839,47.58886458,Seattle - Rainier Valley and Rainier Beach,"c(-122.296483912385, 47.5888645843445)"
School-Elementary,The Lake and Park School,98144,-122.2853613,47.57498651,SEATTLE,-122.2853594,47.5749884,Seattle - Rainier Valley and Rainier Beach,"c(-122.285359421046, 47.5749884037486)"
School-Elementary,University Cooperative School,98105,-122.3133907,47.66964805,SEATTLE,-122.3133892,47.66964988,Seattle - University District,"c(-122.313389199661, 47.6696498771801)"
School-Elementary,John Muir Elementary School,98034,-122.1625193,47.72679839,LAKE WASHINGTON,-122.1625181,47.72680046,Kirkland - North,"c(-122.162518141258, 47.7268004620291)"
School-Elementary,Meridian Elementary School,98042,-122.155788,47.37183368,KENT,-122.1557851,47.37183585,Kent - East,"c(-122.155785055743, 47.3718358463658)"
School-High,Eastlake High School,98074,-122.0308049,47.61339894,LAKE WASHINGTON,-122.0308033,47.61340132,Sammamish,"c(-122.030803336467, 47.613401320345)"
School-Alternative,Northwest Montessori - Woodland Park,98103,-122.3536475,47.66479873,SEATTLE,-122.353646,47.66480048,Fremont and Wallingford,"c(-122.353645957772, 47.6648004769479)"
School-High,Sammamish High School,98005,-122.1523045,47.60845843,BELLEVUE,-122.1523029,47.60846057,Bellevue - Central,"c(-122.152302857805, 47.608460571195)"
School-Elementary,Highland Terrace Elementary School,98133,-122.3594358,47.74569045,SHORELINE,-122.3594346,47.74569215,Shoreline,"c(-122.359434620227, 47.7456921531478)"
School-College or University,Cornish College of the Arts,98121,-122.3362899,47.61815436,SEATTLE,-122.3362882,47.61815616,"Seattle - South Lake Union, Cascade, and Eastlake","c(-122.336288239665, 47.6181561632553)"
School-Other Facility,Administration Center-Kent,98030,-122.1793595,47.37090626,KENT,-122.1793566,47.37090836,Kent - South,"c(-122.17935659584, 47.3709083633513)"
